GB2312	UTF8	UNICODE	charset 
b1d5	e997ad	38381	闭
b1d6	e6959d	25949	敝
b1d7	e5bc8a	24330	弊
b1d8	e5bf85	24517	必
b1d9	e8be9f	36767	辟
b1da	e5a381	22721	壁
b1db	e88782	33218	臂
b1dc	e981bf	36991	避
b1dd	e9999b	38491	陛
b1de	e99ead	38829	鞭
b1df	e8beb9	36793	边
b1e0	e7bc96	32534	编
b1e1	e8b4ac	36140	贬
b1e2	e68981	25153	扁
b1e3	e4bebf	20415	便
b1e4	e58f98	21464	变
b1e5	e58d9e	21342	卞
b1e6	e8bea8	36776	辨
b1e7	e8bea9	36777	辩
b1e8	e8beab	36779	辫
b1e9	e9818d	36941	遍
b1ea	e6a087	26631	标
b1eb	e5bdaa	24426	彪
b1ec	e88698	33176	膘
b1ed	e8a1a8	34920	表
b1ee	e9b396	40150	鳖
b1ef	e6868b	24971	憋
b1f0	e588ab	21035	别
b1f1	e798aa	30250	瘪
b1f2	e5bdac	24428	彬
b1f3	e6968c	25996	斌
b1f4	e6bf92	28626	濒
b1f5	e6bba8	28392	滨
b1f6	e5aebe	23486	宾
b1f7	e69188	25672	摈
b1f8	e585b5	20853	兵
b1f9	e586b0	20912	冰
b1fa	e69f84	26564	柄
b1fb	e4b899	19993	丙
b1fc	e7a789	31177	秉
b1fd	e9a5bc	39292	饼
b1fe	e782b3	28851	炳
b2a1	e79785	30149	病
b2a2	e5b9b6	24182	并
b2a3	e78ebb	29627	玻
b2a4	e88fa0	33760	菠
b2a5	e692ad	25773	播
b2a6	e68ba8	25320	拨
b2a7	e992b5	38069	钵
b2a8	e6b3a2	27874	波
b2a9	e58d9a	21338	博
b2aa	e58b83	21187	勃
b2ab	e6908f	25615	搏
b2ac	e99382	38082	铂
b2ad	e7ae94	31636	箔
b2ae	e4bcaf	20271	伯
b2af	e5b89b	24091	帛
b2b0	e888b6	33334	舶
b2b1	e88496	33046	脖
b2b2	e8868a	33162	膊
b2b3	e6b8a4	28196	渤
b2b4	e6b38a	27850	泊
b2b5	e9a9b3	39539	驳
b2b6	e68d95	25429	捕
b2b7	e58d9c	21340	卜
b2b8	e593ba	21754	哺
b2b9	e8a1a5	34917	补
b2ba	e59fa0	22496	埠
b2bb	e4b88d	19981	不
b2bc	e5b883	24067	布
b2bd	e6ada5	27493	步
b2be	e7b0bf	31807	簿
b2bf	e983a8	37096	部
b2c0	e68096	24598	怖
b2c1	e693a6	25830	擦
b2c2	e78c9c	29468	猜
b2c3	e8a381	35009	裁
b2c4	e69d90	26448	材
b2c5	e6898d	25165	才
b2c6	e8b4a2	36130	财
b2c7	e79dac	30572	睬
b2c8	e8b8a9	36393	踩
b2c9	e98787	37319	采
b2ca	e5bda9	24425	彩
b2cb	e88f9c	33756	菜
b2cc	e894a1	34081	蔡
b2cd	e9a490	39184	餐
b2ce	e58f82	21442	参
b2cf	e89a95	34453	蚕
b2d0	e6ae8b	27531	残
b2d1	e683ad	24813	惭
b2d2	e683a8	24808	惨
b2d3	e781bf	28799	灿
b2d4	e88b8d	33485	苍
b2d5	e888b1	33329	舱
b2d6	e4bb93	20179	仓
b2d7	e6b2a7	27815	沧
b2d8	e8978f	34255	藏
b2d9	e6938d	25805	操
b2da	e7b399	31961	糙
b2db	e6a7bd	27133	槽
b2dc	e69bb9	26361	曹
b2dd	e88d89	33609	草
b2de	e58e95	21397	厕
b2df	e7ad96	31574	策
b2e0	e4bea7	20391	侧
b2e1	e5868c	20876	册
b2e2	e6b58b	27979	测
b2e3	e5b182	23618	层
b2e4	e8b9ad	36461	蹭
b2e5	e68f92	25554	插
b2e6	e58f89	21449	叉
b2e7	e88cac	33580	茬
b2e8	e88cb6	33590	茶
b2e9	e69fa5	26597	查
b2ea	e7a2b4	30900	碴
b2eb	e690bd	25661	搽
b2ec	e5af9f	23519	察
b2ed	e5b294	23700	岔
b2ee	e5b7ae	24046	差
b2ef	e8afa7	35815	诧
b2f0	e68b86	25286	拆
b2f1	e69fb4	26612	柴
b2f2	e8b1ba	35962	豺
b2f3	e69080	25600	搀
b2f4	e68eba	25530	掺
b2f5	e89d89	34633	蝉
b2f6	e9a68b	39307	馋
b2f7	e8b097	35863	谗
b2f8	e7bca0	32544	缠
b2f9	e993b2	38130	铲
b2fa	e4baa7	20135	产
b2fb	e99890	38416	阐
b2fc	e9a2a4	39076	颤
b2fd	e6988c	26124	昌
b2fe	e78c96	29462	猖
b3a1	e59cba	22330	场
b3a2	e5b09d	23581	尝
b3a3	e5b8b8	24120	常
b3a4	e995bf	38271	长
b3a5	e581bf	20607	偿
b3a6	e882a0	32928	肠
b3a7	e58e82	21378	厂
b3a8	e6959e	25950	敞
b3a9	e79585	30021	畅
b3aa	e594b1	21809	唱
b3ab	e580a1	20513	倡
b3ac	e8b685	36229	超
b3ad	e68a84	25220	抄
b3ae	e9929e	38046	钞
b3af	e69c9d	26397	朝
b3b0	e598b2	22066	嘲
b3b1	e6bdae	28526	潮
b3b2	e5b7a2	24034	巢
b3b3	e590b5	21557	吵
b3b4	e78292	28818	炒
b3b5	e8bda6	36710	车
b3b6	e689af	25199	扯
b3b7	e692a4	25764	撤
b3b8	e68ea3	25507	掣
b3b9	e5bdbb	24443	彻
b3ba	e6be88	28552	澈
b3bb	e983b4	37108	郴
b3bc	e887a3	33251	臣
b3bd	e8beb0	36784	辰
b3be	e5b098	23576	尘
b3bf	e699a8	26216	晨
b3c0	e5bfb1	24561	忱
b3c1	e6b289	27785	沉
b3c2	e99988	38472	陈
b3c3	e8b681	36225	趁
b3c4	e8a1ac	34924	衬
b3c5	e69291	25745	撑
b3c6	e7a7b0	31216	称
b3c7	e59f8e	22478	城
b3c8	e6a999	27225	橙
b3c9	e68890	25104	成
b3ca	e59188	21576	呈
b3cb	e4b998	20056	乘
b3cc	e7a88b	31243	程
b3cd	e683a9	24809	惩
b3ce	e6be84	28548	澄
b3cf	e8af9a	35802	诚
b3d0	e689bf	25215	承
b3d1	e9809e	36894	逞
b3d2	e9aa8b	39563	骋
b3d3	e7a7a4	31204	秤
b3d4	e59083	21507	吃
b3d5	e797b4	30196	痴
b3d6	e68c81	25345	持
b3d7	e58c99	21273	匙
b3d8	e6b1a0	27744	池
b3d9	e8bf9f	36831	迟
b3da	e5bc9b	24347	弛
b3db	e9a9b0	39536	驰
b3dc	e880bb	32827	耻
b3dd	e9bdbf	40831	齿
b3de	e4be88	20360	侈
b3df	e5b0ba	23610	尺
b3e0	e8b5a4	36196	赤
b3e1	e7bf85	32709	翅
b3e2	e696a5	26021	斥
b3e3	e782bd	28861	炽
b3e4	e58585	20805	充
b3e5	e586b2	20914	冲
b3e6	e899ab	34411	虫
b3e7	e5b487	23815	崇
b3e8	e5aea0	23456	宠
b3e9	e68abd	25277	抽
b3ea	e985ac	37228	酬
b3eb	e795b4	30068	畴
b3ec	e8b88c	36364	踌
b3ed	e7a8a0	31264	稠
b3ee	e68481	24833	愁
b3ef	e7adb9	31609	筹
b3f0	e4bb87	20167	仇
b3f1	e7bbb8	32504	绸
b3f2	e79e85	30597	瞅
b3f3	e4b891	19985	丑
b3f4	e887ad	33261	臭
b3f5	e5889d	21021	初
b3f6	e587ba	20986	出
b3f7	e6a9b1	27249	橱
b3f8	e58ea8	21416	厨
b3f9	e8ba87	36487	躇
b3fa	e99484	38148	锄
b3fb	e99b8f	38607	雏
b3fc	e6bb81	28353	滁
b3fd	e999a4	38500	除
b3fe	e6a59a	26970	楚
b4a1	e7a180	30784	础
b4a2	e582a8	20648	储
b4a3	e79f97	30679	矗
b4a4	e69090	25616	搐
b4a5	e8a7a6	35302	触
b4a6	e5a484	22788	处
b4a7	e68fa3	25571	揣
b4a8	e5b79d	24029	川
b4a9	e7a9bf	31359	穿
b4aa	e6a4bd	26941	椽
b4ab	e4bca0	20256	传
b4ac	e888b9	33337	船
b4ad	e59698	21912	喘
b4ae	e4b8b2	20018	串
b4af	e796ae	30126	疮
b4b0	e7aa97	31383	窗
b4b1	e5b9a2	24162	幢
b4b2	e5ba8a	24202	床
b4b3	e997af	38383	闯
b4b4	e5889b	21019	创
b4b5	e590b9	21561	吹
b4b6	e7828a	28810	炊
b4b7	e68db6	25462	捶
b4b8	e994a4	38180	锤
b4b9	e59e82	22402	垂
b4ba	e698a5	26149	春
b4bb	e6a4bf	26943	椿
b4bc	e98687	37255	醇
b4bd	e59487	21767	唇
b4be	e6b7b3	28147	淳
b4bf	e7baaf	32431	纯
b4c0	e8a0a2	34850	蠢
b4c1	e688b3	25139	戳
b4c2	e7bbb0	32496	绰
b4c3	e796b5	30133	疵
b4c4	e88ca8	33576	茨
b4c5	e7a381	30913	磁
b4c6	e99b8c	38604	雌
b4c7	e8be9e	36766	辞
b4c8	e68588	24904	慈
b4c9	e793b7	29943	瓷
b4ca	e8af8d	35789	词
b4cb	e6ada4	27492	此
b4cc	e588ba	21050	刺
b4cd	e8b590	36176	赐
b4ce	e6aca1	27425	次
b4cf	e881aa	32874	聪
b4d0	e891b1	33905	葱
b4d1	e59bb1	22257	囱
b4d2	e58c86	21254	匆
b4d3	e4bb8e	20174	从
b4d4	e4b89b	19995	丛
b4d5	e58791	20945	凑
b4d6	e7b297	31895	粗
b4d7	e9868b	37259	醋
b4d8	e7b087	31751	簇
b4d9	e4bf83	20419	促
b4da	e8b9bf	36479	蹿
b4db	e7afa1	31713	篡
b4dc	e7aa9c	31388	窜
b4dd	e691a7	25703	摧
b4de	e5b494	23828	崔
b4df	e582ac	20652	催
b4e0	e88486	33030	脆
b4e1	e79881	30209	瘁
b4e2	e7b2b9	31929	粹
b4e3	e6b7ac	28140	淬
b4e4	e7bfa0	32736	翠
b4e5	e69d91	26449	村
b4e6	e5ad98	23384	存
b4e7	e5afb8	23544	寸
b4e8	e7a38b	30923	磋
b4e9	e692ae	25774	撮
b4ea	e69093	25619	搓
b4eb	e68eaa	25514	措
b4ec	e68cab	25387	挫
b4ed	e99499	38169	错
b4ee	e690ad	25645	搭
b4ef	e8bebe	36798	达
b4f0	e7ad94	31572	答
b4f1	e798a9	30249	瘩
b4f2	e68993	25171	打
b4f3	e5a4a7	22823	大
b4f4	e59186	21574	呆
b4f5	e6adb9	27513	歹
b4f6	e582a3	20643	傣
b4f7	e688b4	25140	戴
b4f8	e5b8a6	24102	带
b4f9	e6ae86	27526	殆
b4fa	e4bba3	20195	代
b4fb	e8b4b7	36151	贷
b4fc	e8a28b	34955	袋
b4fd	e5be85	24453	待
b4fe	e980ae	36910	逮
b5a1	e680a0	24608	怠
b5a2	e880bd	32829	耽
b5a3	e68b85	25285	担
b5a4	e4b8b9	20025	丹
b5a5	e58d95	21333	单
b5a6	e983b8	37112	郸
b5a7	e68eb8	25528	掸
b5a8	e88386	32966	胆
b5a9	e697a6	26086	旦
b5aa	e6b0ae	27694	氮
b5ab	e4bd86	20294	但
b5ac	e683ae	24814	惮
b5ad	e6b7a1	28129	淡
b5ae	e8af9e	35806	诞
b5af	e5bcb9	24377	弹
b5b0	e89b8b	34507	蛋
b5b1	e5bd93	24403	当
b5b2	e68ca1	25377	挡
b5b3	e5859a	20826	党
b5b4	e88da1	33633	荡
b5b5	e6a1a3	26723	档
b5b6	e58880	20992	刀
b5b7	e68da3	25443	捣
b5b8	e8b988	36424	蹈
b5b9	e58092	20498	倒
b5ba	e5b29b	23707	岛
b5bb	e7a5b7	31095	祷
b5bc	e5afbc	23548	导
b5bd	e588b0	21040	到
b5be	e7a8bb	31291	稻
b5bf	e682bc	24764	悼
b5c0	e98193	36947	道
b5c1	e79b97	30423	盗
b5c2	e5beb7	24503	德
b5c3	e5be97	24471	得
b5c4	e79a84	30340	的
b5c5	e8b9ac	36460	蹬
b5c6	e781af	28783	灯
b5c7	e799bb	30331	登
b5c8	e7ad89	31561	等
b5c9	e79eaa	30634	瞪
b5ca	e587b3	20979	凳
b5cb	e98293	37011	邓
b5cc	e5a0a4	22564	堤
b5cd	e4bd8e	20302	低
b5ce	e6bbb4	28404	滴
b5cf	e8bfaa	36842	迪
b5d0	e6958c	25932	敌
b5d1	e7ac9b	31515	笛
b5d2	e78b84	29380	狄
b5d3	e6b6a4	28068	涤
b5d4	e7bf9f	32735	翟
b5d5	e5aba1	23265	嫡
b5d6	e68ab5	25269	抵
b5d7	e5ba95	24213	底
b5d8	e59cb0	22320	地
b5d9	e89282	33922	蒂
b5da	e7acac	31532	第
b5db	e5b89d	24093	帝
b5dc	e5bc9f	24351	弟
b5dd	e98092	36882	递
b5de	e7bc94	32532	缔
b5df	e9a2a0	39072	颠
b5e0	e68e82	25474	掂
b5e1	e6bb87	28359	滇
b5e2	e7a298	30872	碘
b5e3	e782b9	28857	点
b5e4	e585b8	20856	典
b5e5	e99d9b	38747	靛
b5e6	e59eab	22443	垫
b5e7	e794b5	30005	电
b5e8	e4bd83	20291	佃
b5e9	e794b8	30008	甸
b5ea	e5ba97	24215	店
b5eb	e683a6	24806	惦
b5ec	e5a5a0	22880	奠
b5ed	e6b780	28096	淀
b5ee	e6aebf	27583	殿
b5ef	e7a289	30857	碉
b5f0	e58fbc	21500	叼
b5f1	e99b95	38613	雕
b5f2	e5878b	20939	凋
b5f3	e58881	20993	刁
b5f4	e68e89	25481	掉
b5f5	e5908a	21514	吊
b5f6	e99293	38035	钓
b5f7	e8b083	35843	调
b5f8	e8b78c	36300	跌
b5f9	e788b9	29241	爹
b5fa	e7a29f	30879	碟
b5fb	e89db6	34678	蝶
b5fc	e8bfad	36845	迭
b5fd	e8b08d	35853	谍
b5fe	e58fa0	21472	叠
b6a1	e4b881	19969	丁
b6a2	e79baf	30447	盯
b6a3	e58fae	21486	叮
b6a4	e99289	38025	钉
b6a5	e9a1b6	39030	顶
b6a6	e9bc8e	40718	鼎
b6a7	e994ad	38189	锭
b6a8	e5ae9a	23450	定
b6a9	e8aea2	35746	订
b6aa	e4b8a2	20002	丢
b6ab	e4b89c	19996	东
b6ac	e586ac	20908	冬
b6ad	e891a3	33891	董
b6ae	e68782	25026	懂
b6af	e58aa8	21160	动
b6b0	e6a08b	26635	栋
b6b1	e4be97	20375	侗
b6b2	e681ab	24683	恫
b6b3	e586bb	20923	冻
b6b4	e6b49e	27934	洞
b6b5	e5859c	20828	兜
b6b6	e68a96	25238	抖
b6b7	e69697	26007	斗
b6b8	e999a1	38497	陡
b6b9	e8b186	35910	豆
b6ba	e98097	36887	逗
b6bb	e79798	30168	痘
b6bc	e983bd	37117	都
b6bd	e79da3	30563	督
b6be	e6af92	27602	毒
b6bf	e78a8a	29322	犊
b6c0	e78bac	29420	独
b6c1	e8afbb	35835	读
b6c2	e5a0b5	22581	堵
b6c3	e79db9	30585	睹
b6c4	e8b58c	36172	赌
b6c5	e69d9c	26460	杜
b6c6	e99580	38208	镀
b6c7	e8829a	32922	肚
b6c8	e5baa6	24230	度
b6c9	e6b8a1	28193	渡
b6ca	e5a692	22930	妒
b6cb	e7abaf	31471	端
b6cc	e79fad	30701	短
b6cd	e994bb	38203	锻
b6ce	e6aeb5	27573	段
b6cf	e696ad	26029	断
b6d0	e7bc8e	32526	缎
b6d1	e5a086	22534	堆
b6d2	e58591	20817	兑
b6d3	e9989f	38431	队
b6d4	e5afb9	23545	对
b6d5	e5a2a9	22697	墩
b6d6	e590a8	21544	吨
b6d7	e8b9b2	36466	蹲
b6d8	e695a6	25958	敦
b6d9	e9a1bf	39039	顿
b6da	e59ba4	22244	囤
b6db	e9929d	38045	钝
b6dc	e79bbe	30462	盾
b6dd	e98181	36929	遁
b6de	e68e87	25479	掇
b6df	e59386	21702	哆
b6e0	e5a49a	22810	多
b6e1	e5a4ba	22842	夺
b6e2	e59e9b	22427	垛
b6e3	e8bab2	36530	躲
b6e4	e69cb5	26421	朵
b6e5	e8b7ba	36346	跺
b6e6	e888b5	33333	舵
b6e7	e58981	21057	剁
b6e8	e683b0	24816	惰
b6e9	e5a095	22549	堕
b6ea	e89bbe	34558	蛾
b6eb	e5b3a8	23784	峨
b6ec	e9b985	40517	鹅
b6ed	e4bf84	20420	俄
b6ee	e9a29d	39069	额
b6ef	e8aeb9	35769	讹
b6f0	e5a8a5	23077	娥
b6f1	e681b6	24694	恶
b6f2	e58e84	21380	厄
b6f3	e689bc	25212	扼
b6f4	e9818f	36943	遏
b6f5	e98482	37122	鄂
b6f6	e9a5bf	39295	饿
b6f7	e681a9	24681	恩
b6f8	e8808c	32780	而
b6f9	e584bf	20799	儿
b6fa	e880b3	32819	耳
b6fb	e5b094	23572	尔
b6fc	e9a5b5	39285	饵
b6fd	e6b4b1	27953	洱
b6fe	e4ba8c	20108	二
b7a1	e8b4b0	36144	贰
b7a2	e58f91	21457	发
b7a3	e7bd9a	32602	罚
b7a4	e7ad8f	31567	筏
b7a5	e4bc90	20240	伐
b7a6	e4b98f	20047	乏
b7a7	e99880	38400	阀
b7a8	e6b395	27861	法
b7a9	e78f90	29648	珐
b7aa	e897a9	34281	藩
b7ab	e5b886	24070	帆
b7ac	e795aa	30058	番
b7ad	e7bfbb	32763	翻
b7ae	e6a88a	27146	樊
b7af	e79fbe	30718	矾
b7b0	e99292	38034	钒
b7b1	e7b981	32321	繁
b7b2	e587a1	20961	凡
b7b3	e783a6	28902	烦
b7b4	e58f8d	21453	反
b7b5	e8bf94	36820	返
b7b6	e88c83	33539	范
b7b7	e8b4a9	36137	贩
b7b8	e78aaf	29359	犯
b7b9	e9a5ad	39277	饭
b7ba	e6b39b	27867	泛
b7bb	e59d8a	22346	坊
b7bc	e88ab3	33459	芳
b7bd	e696b9	26041	方
b7be	e882aa	32938	肪
b7bf	e688bf	25151	房
b7c0	e998b2	38450	防
b7c1	e5a6a8	22952	妨
b7c2	e4bbbf	20223	仿
b7c3	e8aebf	35775	访
b7c4	e7baba	32442	纺
b7c5	e694be	25918	放
b7c6	e88fb2	33778	菲
b7c7	e99d9e	38750	非
b7c8	e595a1	21857	啡
b7c9	e9a39e	39134	飞
b7ca	e882a5	32933	肥
b7cb	e58caa	21290	匪
b7cc	e8afbd	35837	诽
b7cd	e590a0	21536	吠
b7ce	e882ba	32954	肺
b7cf	e5ba9f	24223	废
b7d0	e6b2b8	27832	沸
b7d1	e8b4b9	36153	费
b7d2	e88aac	33452	芬
b7d3	e9859a	37210	酚
b7d4	e590a9	21545	吩
b7d5	e6b09b	27675	氛
b7d6	e58886	20998	分
b7d7	e7bab7	32439	纷
b7d8	e59d9f	22367	坟
b7d9	e7849a	28954	焚
b7da	e6b1be	27774	汾
b7db	e7b289	31881	粉
b7dc	e5a58b	22859	奋
b7dd	e4bbbd	20221	份
b7de	e5bfbf	24575	忿
b7df	e684a4	24868	愤
b7e0	e7b2aa	31914	粪
b7e1	e4b8b0	20016	丰
b7e2	e5b081	23553	封
b7e3	e69eab	26539	枫
b7e4	e89c82	34562	蜂
b7e5	e5b3b0	23792	峰
b7e6	e9948b	38155	锋
b7e7	e9a38e	39118	风
b7e8	e796af	30127	疯
b7e9	e783bd	28925	烽
b7ea	e980a2	36898	逢
b7eb	e586af	20911	冯
b7ec	e7bc9d	32541	缝
b7ed	e8aebd	35773	讽
b7ee	e5a589	22857	奉
b7ef	e587a4	20964	凤
b7f0	e4bd9b	20315	佛
b7f1	e590a6	21542	否
b7f2	e5a4ab	22827	夫
b7f3	e695b7	25975	敷
b7f4	e882a4	32932	肤
b7f5	e5adb5	23413	孵
b7f6	e689b6	25206	扶
b7f7	e68b82	25282	拂
b7f8	e8be90	36752	辐
b7f9	e5b985	24133	幅
b7fa	e6b09f	27679	氟
b7fb	e7aca6	31526	符
b7fc	e4bc8f	20239	伏
b7fd	e4bf98	20440	俘
b7fe	e69c8d	26381	服
b8a1	e6b5ae	28014	浮
b8a2	e6b6aa	28074	涪
b8a3	e7a68f	31119	福
b8a4	e8a2b1	34993	袱
b8a5	e5bc97	24343	弗
b8a6	e794ab	29995	甫
b8a7	e68a9a	25242	抚
b8a8	e8be85	36741	辅
b8a9	e4bfaf	20463	俯
b8aa	e9879c	37340	釜
b8ab	e696a7	26023	斧
b8ac	e884af	33071	脯
b8ad	e88591	33105	腑
b8ae	e5ba9c	24220	府
b8af	e88590	33104	腐
b8b0	e8b5b4	36212	赴
b8b1	e589af	21103	副
b8b2	e8a686	35206	覆
b8b3	e8b58b	36171	赋
b8b4	e5a48d	22797	复
b8b5	e58285	20613	傅
b8b6	e4bb98	20184	付
b8b7	e9989c	38428	阜
b8b8	e788b6	29238	父
b8b9	e885b9	33145	腹
b8ba	e8b49f	36127	负
b8bb	e5af8c	23500	富
b8bc	e8aea3	35747	讣
b8bd	e99984	38468	附
b8be	e5a687	22919	妇
b8bf	e7bc9a	32538	缚
b8c0	e59290	21648	咐
b8c1	e599b6	22134	噶
b8c2	e5988e	22030	嘎
b8c3	e8afa5	35813	该
b8c4	e694b9	25913	改
b8c5	e6a682	27010	概
b8c6	e99299	38041	钙
b8c7	e79b96	30422	盖
b8c8	e6ba89	28297	溉
b8c9	e5b9b2	24178	干
b8ca	e79498	29976	甘
b8cb	e69d86	26438	杆
b8cc	e69f91	26577	柑
b8cd	e7abbf	31487	竿
b8ce	e8829d	32925	肝
b8cf	e8b5b6	36214	赶
b8d0	e6849f	24863	感
b8d1	e7a786	31174	秆
b8d2	e695a2	25954	敢
b8d3	e8b5a3	36195	赣
b8d4	e58688	20872	冈
b8d5	e5889a	21018	刚
b8d6	e992a2	38050	钢
b8d7	e7bcb8	32568	缸
b8d8	e8829b	32923	肛
b8d9	e7bab2	32434	纲
b8da	e5b297	23703	岗
b8db	e6b8af	28207	港
b8dc	e69da0	26464	杠
b8dd	e7af99	31705	篙
b8de	e79a8b	30347	皋
b8df	e9ab98	39640	高
b8e0	e8868f	33167	膏
b8e1	e7be94	32660	羔
b8e2	e7b395	31957	糕
b8e3	e6909e	25630	搞
b8e4	e99590	38224	镐
b8e5	e7a8bf	31295	稿
b8e6	e5918a	21578	告
b8e7	e593a5	21733	哥
b8e8	e6ad8c	27468	歌
b8e9	e69081	25601	搁
b8ea	e68888	25096	戈
b8eb	e9b8bd	40509	鸽
b8ec	e883b3	33011	胳
b8ed	e79699	30105	疙
b8ee	e589b2	21106	割
b8ef	e99da9	38761	革
b8f0	e8919b	33883	葛
b8f1	e6a0bc	26684	格
b8f2	e89ba4	34532	蛤
b8f3	e99881	38401	阁
b8f4	e99a94	38548	隔
b8f5	e993ac	38124	铬
b8f6	e4b8aa	20010	个
b8f7	e59084	21508	各
b8f8	e7bb99	32473	给
b8f9	e6a0b9	26681	根
b8fa	e8b79f	36319	跟
b8fb	e88095	32789	耕
b8fc	e69bb4	26356	更
b8fd	e5ba9a	24218	庚
b8fe	e7beb9	32697	羹
b9a1	e59f82	22466	埂
b9a2	e880bf	32831	耿
b9a3	e6a297	26775	梗
b9a4	e5b7a5	24037	工
b9a5	e694bb	25915	攻
b9a6	e58a9f	21151	功
b9a7	e681ad	24685	恭
b9a8	e9be9a	40858	龚
b9a9	e4be9b	20379	供
b9aa	e8baac	36524	躬
b9ab	e585ac	20844	公
b9ac	e5aeab	23467	宫
b9ad	e5bc93	24339	弓
b9ae	e5b7a9	24041	巩
b9af	e6b19e	27742	汞
b9b0	e68bb1	25329	拱
b9b1	e8b4a1	36129	贡
b9b2	e585b1	20849	共
b9b3	e992a9	38057	钩
b9b4	e58bbe	21246	勾
b9b5	e6b29f	27807	沟
b9b6	e88b9f	33503	苟
b9b7	e78b97	29399	狗
b9b8	e59ea2	22434	垢
b9b9	e69e84	26500	构
b9ba	e8b4ad	36141	购
b9bb	e5a49f	22815	够
b9bc	e8be9c	36764	辜
b9bd	e88f87	33735	菇
b9be	e59295	21653	咕
b9bf	e7ae8d	31629	箍
b9c0	e4bcb0	20272	估
b9c1	e6b2bd	27837	沽
b9c2	e5ada4	23396	孤
b9c3	e5a791	22993	姑
b9c4	e9bc93	40723	鼓
b9c5	e58fa4	21476	古
b9c6	e89b8a	34506	蛊
b9c7	e9aaa8	39592	骨
b9c8	e8b0b7	35895	谷
b9c9	e882a1	32929	股
b9ca	e69585	25925	故
b9cb	e9a1be	39038	顾
b9cc	e59bba	22266	固
b9cd	e99b87	38599	雇
b9ce	e588ae	21038	刮
b9cf	e7939c	29916	瓜
b9d0	e58990	21072	剐
b9d1	e5afa1	23521	寡
b9d2	e68c82	25346	挂
b9d3	e8a482	35074	褂
b9d4	e4b996	20054	乖
b9d5	e68b90	25296	拐
b9d6	e680aa	24618	怪
b9d7	e6a3ba	26874	棺
b9d8	e585b3	20851	关
b9d9	e5ae98	23448	官
b9da	e586a0	20896	冠
b9db	e8a782	35266	观
b9dc	e7aea1	31649	管
b9dd	e9a686	39302	馆
b9de	e7bd90	32592	罐
b9df	e683af	24815	惯
b9e0	e7818c	28748	灌
b9e1	e8b4af	36143	贯
b9e2	e58589	20809	光
b9e3	e5b9bf	24191	广
b9e4	e9809b	36891	逛
b9e5	e791b0	29808	瑰
b9e6	e8a784	35268	规
b9e7	e59cad	22317	圭
b9e8	e7a185	30789	硅
b9e9	e5bd92	24402	归
b9ea	e9be9f	40863	龟
b9eb	e997ba	38394	闺
b9ec	e8bda8	36712	轨
b9ed	e9acbc	39740	鬼
b9ee	e8afa1	35809	诡
b9ef	e799b8	30328	癸
b9f0	e6a182	26690	桂
b9f1	e69f9c	26588	柜
b9f2	e8b7aa	36330	跪
b9f3	e8b4b5	36149	贵
b9f4	e588bd	21053	刽
b9f5	e8be8a	36746	辊
b9f6	e6bb9a	28378	滚
b9f7	e6a38d	26829	棍
b9f8	e99485	38149	锅
b9f9	e983ad	37101	郭
b9fa	e59bbd	22269	国
b9fb	e69e9c	26524	果
b9fc	e8a3b9	35065	裹
b9fd	e8bf87	36807	过
b9fe	e59388	21704	哈
baa1	e9aab8	39608	骸
baa2	e5ada9	23401	孩
baa3	e6b5b7	28023	海
baa4	e6b0a6	27686	氦
baa5	e4baa5	20133	亥
baa6	e5aeb3	23475	害
baa7	e9aa87	39559	骇
baa8	e985a3	37219	酣
baa9	e686a8	25000	憨
baaa	e982af	37039	邯
baab	e99fa9	38889	韩
baac	e590ab	21547	含
baad	e6b6b5	28085	涵
baae	e5af92	23506	寒
baaf	e587bd	20989	函
bab0	e5968a	21898	喊
bab1	e7bd95	32597	罕
bab2	e7bfb0	32752	翰
bab3	e692bc	25788	撼
bab4	e68d8d	25421	捍
bab5	e697b1	26097	旱
bab6	e686be	25022	憾
bab7	e6828d	24717	悍
bab8	e7848a	28938	焊
bab9	e6b197	27735	汗
baba	e6b189	27721	汉
babb	e5a4af	22831	夯
babc	e69dad	26477	杭
babd	e888aa	33322	航
babe	e5a395	22741	壕
babf	e59a8e	22158	嚎
bac0	e8b1aa	35946	豪
bac1	e6afab	27627	毫
bac2	e9839d	37085	郝
bac3	e5a5bd	22909	好
bac4	e88097	32791	耗
bac5	e58fb7	21495	号
bac6	e6b5a9	28009	浩
bac7	e591b5	21621	呵
bac8	e5969d	21917	喝
bac9	e88db7	33655	荷
baca	e88f8f	33743	菏
bacb	e6a0b8	26680	核
bacc	e7a6be	31166	禾
bacd	e5928c	21644	和
bace	e4bd95	20309	何
bacf	e59088	21512	合
bad0	e79b92	30418	盒
bad1	e8b289	35977	貉
bad2	e99882	38402	阂
bad3	e6b2b3	27827	河
bad4	e6b6b8	28088	涸
bad5	e8b5ab	36203	赫
bad6	e8a490	35088	褐
bad7	e9b9a4	40548	鹤
bad8	e8b4ba	36154	贺
bad9	e598bf	22079	嘿
bada	e9bb91	40657	黑
badb	e79795	30165	痕
badc	e5be88	24456	很
badd	e78ba0	29408	狠
bade	e681a8	24680	恨
badf	e593bc	21756	哼
bae0	e4baa8	20136	亨
bae1	e6a8aa	27178	横
bae2	e8a1a1	34913	衡
bae3	e68192	24658	恒
bae4	e8bdb0	36720	轰
bae5	e59384	21700	哄
